,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
534757,1,26000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
865110,1,13000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1108024,1,3500.0,10.0,393.4,0.0,0.0,443.83,1,0.0,0
336266,1,20000.0,416.85,460.64,0.0,27.0,53.79,1,0.0,0
600308,3,25000.0,0.0,77.37,0.0,0.0,362.62,1,0.0,0
289331,1,500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
973943,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1108.09,0
846078,1,3000.0,2622.24,35.0,0.0,79.0,190.0,1,0.0,0
1180810,1,2000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
808429,1,27300.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
973879,1,1000.0,440.13,125.22,0.0,0.0,60.0,1,0.0,0
524535,1,5000.0,0.0,0.0,0.0,0.0,0.0,4,5438.11,0
776712,1,2000.0,1306.82,0.0,0.0,39.0,100.0,1,0.0,0
920039,1,500.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
312917,1,26800.0,577.7,577.7,0.0,27.0,412.91,1,0.0,0
768410,1,20000.0,9303.83,316.87,0.0,279.0,380.0,1,0.0,0
570207,2,9000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
593993,1,300.0,0.0,0.0,0.0,0.0,0.0,4,299.53,0
659349,1,5000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
397451,1,27000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
802833,1,10000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
76946,1,27800.0,208.0,208.0,0.0,0.0,0.0,1,0.0,0
29793,1,3500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
414116,1,13800.0,0.0,0.0,0.0,0.0,185.0,1,0.0,0
496906,1,22500.0,5326.17,2925.71,41.51,160.0,700.0,1,0.0,0
33357,2,19500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
554668,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2187.12,0
390696,2,22300.0,708.97,842.69,133.72,27.0,91.88,1,0.0,0
1074745,1,2500.0,2256.1,0.0,0.0,68.0,100.0,1,0.0,0
360403,1,5000.0,0.0,0.0,58.56,0.0,0.0,1,0.0,0
210337,1,2500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1169817,1,1500.0,946.1,0.0,0.0,28.0,50.0,1,0.0,0
590171,1,1000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
487515,3,10000.0,46.86,52.31,5.45,29.0,388.06,1,0.0,0
685159,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1256.14,0
