,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
1064834,1,22800.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1026779,1,1000.0,156.72,19.99,0.0,0.0,50.0,1,0.0,0
1115031,1,3000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
253796,1,500.0,0.0,0.0,0.0,0.0,0.0,4,616.63,0
1094346,1,5000.0,4994.64,0.0,0.0,300.0,150.0,1,0.0,0
581583,1,6500.0,5568.09,894.91,0.0,167.0,200.0,1,0.0,0
650789,1,1000.0,866.63,121.94,0.0,0.0,30.0,1,0.0,0
324641,1,1000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
109574,1,4500.0,4348.65,0.0,0.0,130.0,200.0,1,0.0,0
115908,1,29000.0,0.0,0.0,0.0,0.0,193.39,1,0.0,0
919934,1,2000.0,1667.27,50.37,0.0,0.0,100.0,1,0.0,0
33780,1,20000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1233202,1,300.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
504311,1,16600.0,524.39,674.66,0.0,27.0,150.0,1,0.0,0
703561,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,3164.61,0
414398,1,25500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
866692,1,500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1007692,1,500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
300749,1,500.0,0.0,57.33,0.0,0.0,456.97,1,0.0,0
852097,1,19500.0,-7.57,0.0,0.0,0.0,0.0,1,0.0,0
792773,1,1500.0,1476.8,505.33,0.0,40.0,365.0,1,0.0,0
691485,1,15000.0,11936.37,0.0,0.0,358.0,369.0,2,0.0,0
88601,3,12000.0,519.49,48.62,0.0,29.0,27.0,1,0.0,0
1216578,1,500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
200410,1,2000.0,1219.94,0.0,0.0,37.0,80.0,1,0.0,0
1110021,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1829.01,0
904606,2,25000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1217655,1,500.0,273.9,545.96,0.0,29.0,425.0,1,0.0,0
1046877,1,3000.0,2257.1,674.61,60.62,68.0,630.0,1,0.0,0
391006,1,2750.0,0.0,0.0,0.0,0.0,0.0,4,3094.58,0
1227869,1,2000.0,1136.98,545.44,0.0,34.0,0.0,1,0.0,0
118782,1,4000.0,0.0,0.0,0.0,0.0,0.0,4,4616.54,0
290527,1,25000.0,0.0,0.0,0.0,0.0,5.35,1,0.0,0
548961,1,3000.0,461.54,0.0,0.0,27.0,50.0,1,0.0,0
25847,1,5000.0,0.0,0.0,0.0,0.0,0.0,4,4406.86,0
166948,1,2000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
486026,1,2500.0,2107.81,1163.64,0.0,63.0,360.0,1,0.0,0
1087020,1,1500.0,0.0,0.0,0.0,0.0,0.0,4,1492.93,0
630612,1,18000.0,5062.3,1199.31,0.0,152.0,2000.0,1,0.0,0
1216292,1,3500.0,2751.91,85.33,0.0,0.0,100.0,1,0.0,0
555630,1,8500.0,24.93,273.76,0.0,24.93,248.83,1,0.0,0
892336,1,3000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
147404,1,16000.0,7167.77,132.44,0.0,0.0,365.0,1,0.0,0
354404,3,20000.0,40.0,40.0,0.0,27.0,567.89,1,0.0,0
1037628,1,26000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
711951,1,12000.0,0.0,550.73,0.0,0.0,541.74,1,0.0,0
420244,3,8800.0,0.0,789.36,0.0,0.0,1781.6,1,0.0,0
37580,1,3000.0,121.6,139.56,18.26,27.0,581.5,1,0.0,0
