,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
719808,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1933.19,0
1056201,1,500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
414551,1,26000.0,1011.92,753.75,0.0,30.0,500.0,1,0.0,0
862911,1,3500.0,1687.0,1708.01,0.0,51.0,2500.0,1,0.0,0
644771,1,9000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
852205,8,2000.0,0.0,0.0,0.0,0.0,0.0,4,2022.57,0
86826,1,5000.0,554.72,378.88,0.0,27.0,300.0,1,0.0,0
913054,2,5000.0,6.14,0.0,0.0,6.14,0.0,1,0.0,0
510035,1,3500.0,2998.37,274.77,0.0,0.0,100.0,1,0.0,0
852705,1,2500.0,1520.25,0.0,0.0,46.0,100.0,1,0.0,0
1231221,1,500.0,123.69,387.14,0.0,27.0,323.44,1,0.0,0
968747,1,500.0,69.59,69.42,0.0,0.0,248.09,1,0.0,0
708354,1,9500.0,0.0,28.86,9.99,0.0,13.87,1,0.0,0
337786,2,17300.0,1317.27,2392.44,5.4,40.0,1200.0,1,0.0,0
650082,1,1500.0,1411.54,0.0,0.0,42.0,50.0,1,0.0,0
678958,1,1000.0,659.37,282.59,0.0,27.0,500.0,1,0.0,0
189912,1,12800.0,0.0,0.0,0.0,0.0,0.0,4,8442.02,0
308374,7,2000.0,0.0,0.0,0.0,0.0,0.0,4,38.74,0
999917,1,1500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1009377,1,300.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1087688,1,900.0,896.72,315.07,0.0,27.0,0.0,1,0.0,0
41171,1,11500.0,501.55,87.0,0.0,27.0,50.0,1,0.0,0
222222,1,14000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1155821,1,2000.0,131.77,0.0,0.0,27.0,1200.0,5,0.0,0
446268,1,5000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1224186,1,1000.0,800.41,13.09,13.09,27.0,60.0,1,0.0,0
558904,1,17500.0,168.79,168.79,0.0,27.0,95.26,1,0.0,0
1174082,1,300.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
625374,3,15000.0,14331.71,0.0,0.0,430.0,500.0,1,0.0,0
381476,2,29000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
823219,1,1000.0,408.64,990.0,100.0,27.0,600.0,1,0.0,0
181560,1,1000.0,0.0,427.15,0.0,0.0,427.15,1,0.0,0
360464,1,2000.0,702.48,0.0,0.0,0.0,100.0,1,0.0,0
237081,1,27000.0,6309.02,7565.67,10.65,0.0,2100.0,1,0.0,0
117290,1,2500.0,0.0,0.0,0.0,0.0,0.0,4,2579.44,0
186653,1,3000.0,2895.18,2522.05,8.26,0.0,400.0,1,0.0,0
177231,7,26000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
606190,3,10800.0,796.93,1540.01,33.26,27.0,1281.28,1,0.0,0
862288,1,1500.0,6.77,6.77,0.0,0.0,20.39,1,0.0,0
694297,1,2500.0,2238.39,206.26,0.0,67.0,120.2,1,0.0,0
83058,1,5000.0,4074.19,0.0,0.0,122.0,180.0,1,0.0,0
225974,11,5000.0,201.77,378.09,0.0,10.0,560.32,1,0.0,0
589069,1,12000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
20330,1,3500.0,504.82,325.01,0.0,27.0,75.0,1,0.0,0
348888,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,2560.37,0
368156,1,13000.0,4955.54,0.0,0.0,441.0,0.0,1,0.0,0
569869,1,9000.0,0.0,0.0,0.0,0.0,0.0,4,6494.02,0
430491,1,25300.0,50.18,0.0,0.0,0.0,150.0,1,0.0,0
220280,1,1000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
764862,1,2000.0,1028.58,0.0,0.0,31.0,150.0,2,0.0,0
134671,1,2000.0,1997.93,31.28,0.0,60.0,120.01,1,0.0,0
936991,1,500.0,20.0,381.8,0.0,20.0,361.8,1,0.0,0
646908,1,25000.0,2249.81,78.94,0.0,0.0,67.0,1,0.0,0
817782,1,300.0,186.21,356.61,0.0,0.0,267.23,1,0.0,0
1230143,1,2500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
224872,1,12700.0,2144.08,284.34,0.0,0.0,190.07,1,0.0,0
671987,2,10000.0,9612.4,282.64,0.0,288.0,300.0,1,0.0,0
762956,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
422597,1,5500.0,3446.82,477.51,0.0,103.0,91.0,1,0.0,0
404514,1,22800.0,15325.72,268.57,7.73,0.0,1300.0,1,0.0,0
146343,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1214.32,0
1232432,1,3500.0,1010.05,355.21,0.0,0.0,152.52,1,0.0,0
1177758,1,1000.0,404.4,262.85,72.35,0.0,500.0,1,0.0,0
413485,1,12600.0,0.0,172.2,0.0,0.0,201.79,1,0.0,0
509354,1,24000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
400572,1,26200.0,63.59,462.84,0.0,0.0,840.74,1,0.0,0
103146,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2250.18,0
48294,1,300.0,0.0,0.0,0.0,0.0,0.0,4,47.15,0
765794,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2174.38,0
623514,2,26300.0,5500.13,1106.1,0.0,165.0,1000.0,1,0.0,0
1039263,1,2000.0,1716.62,161.67,0.0,51.0,300.0,1,0.0,0
725453,1,500.0,293.9,0.0,0.0,27.0,0.0,1,0.0,0
230365,1,5000.0,1505.28,90.13,0.0,45.0,305.0,1,0.0,0
328240,1,25000.0,353.1,908.95,0.0,0.0,557.14,2,0.0,0
914961,1,500.0,0.0,0.0,0.0,0.0,0.0,4,110.93,0
