,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
1121009,1,300.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
1078738,1,25000.0,0.0,7.35,0.0,0.0,7.35,1,0.0,0
919388,1,2500.0,1073.6,0.0,0.0,32.0,50.0,3,0.0,0
187228,1,11000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
394083,1,5000.0,4335.74,507.18,73.48,130.0,300.0,1,0.0,0
528704,2,27800.0,1167.62,1246.03,53.24,35.0,1000.0,1,0.0,0
168959,1,28000.0,807.03,0.0,0.0,27.0,100.0,1,0.0,0
579605,2,5000.0,96.79,116.06,6.99,27.0,543.71,1,0.0,0
876717,1,3500.0,1194.56,2015.79,0.0,36.0,1203.45,1,0.0,0
50816,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,3039.99,0
340463,1,15500.0,0.0,0.0,0.0,0.0,114.2,1,0.0,0
306178,1,26300.0,7101.97,570.83,0.0,213.0,500.0,1,0.0,0
30853,1,500.0,52.9,33.1,0.0,29.0,50.0,1,0.0,0
1219209,1,7500.0,7008.15,0.0,0.0,210.0,220.0,1,0.0,0
1198162,1,500.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
639680,1,5000.0,5025.66,418.64,0.0,150.0,550.0,1,0.0,0
231148,1,27800.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
545960,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2188.07,0
808042,7,1000.0,0.0,0.0,0.0,0.0,0.0,4,1193.27,0
923089,1,1000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
70878,1,15000.0,2266.98,0.0,0.0,68.0,300.0,1,0.0,0
1027137,1,10000.0,7035.28,4647.67,164.64,211.0,100.0,1,0.0,0
381806,1,9500.0,6561.52,1022.33,0.0,197.0,150.0,1,0.0,0
723006,1,500.0,505.77,24.95,0.0,54.0,0.0,1,0.0,0
1017512,1,2000.0,205.28,0.0,0.0,27.0,2000.08,8,0.0,0
1048367,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1780.85,0
316273,1,16500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1212365,1,2000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
590097,2,5000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
911395,1,700.0,0.0,0.0,0.0,0.0,0.0,4,329.59,0
648907,1,25000.0,787.67,81.82,0.0,27.0,300.0,1,0.0,0
964048,1,10000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
510139,1,27500.0,998.79,0.0,0.0,30.0,520.0,1,0.0,0
666840,1,300.0,0.0,0.0,0.0,0.0,0.0,4,270.29,0
828818,1,300.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
195279,1,27500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
805431,9,2000.0,0.0,0.0,0.0,0.0,0.0,4,15.05,0
489257,1,500.0,-51.87,61.63,0.0,0.0,0.0,1,0.0,0
1117872,1,1500.0,76.04,0.0,0.0,27.0,54.0,1,0.0,0
709831,1,300.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
167419,1,28500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
607754,1,18000.0,8007.58,779.0,0.0,240.0,222.0,1,0.0,0
56851,1,10000.0,9909.24,138.17,0.0,297.0,299.0,1,0.0,0
513336,1,8000.0,3310.67,0.0,0.0,99.0,101.0,3,0.0,0
305284,1,25000.0,46.98,46.98,0.0,27.0,46.98,1,0.0,0
64135,1,7500.0,3203.07,0.0,0.0,82.43,85.0,3,0.0,0
11487,9,17000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
279174,1,25000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
77613,1,15000.0,0.0,0.0,0.0,0.0,0.0,4,15643.16,0
335671,1,2000.0,1700.64,82.0,0.0,51.0,75.0,1,0.0,0
661176,1,3500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
204351,1,10000.0,0.0,0.0,0.0,0.0,0.0,4,9961.95,0
781453,1,16000.0,11616.55,0.0,0.0,348.0,356.0,1,0.0,0
961040,1,2000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
917570,2,7000.0,229.35,1919.67,43.03,27.0,2329.74,1,0.0,0
318787,1,12000.0,7231.22,124.8,0.0,217.0,218.0,1,0.0,0
678545,1,1000.0,168.06,368.06,0.0,0.0,344.92,1,0.0,0
484536,1,25500.0,0.0,88.14,0.0,48.0,300.0,1,0.0,0
21341,1,27800.0,45.89,129.6,0.0,27.0,83.71,1,0.0,0
842638,1,1000.0,560.41,0.0,0.0,27.0,27.0,2,0.0,0
19999,1,1000.0,585.13,0.0,0.0,54.0,0.0,1,0.0,0
354124,1,10000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
568611,1,25800.0,8325.89,0.0,657.0,0.0,280.0,1,0.0,0
171525,1,29000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
138097,1,2000.0,1104.46,897.04,0.0,33.0,620.0,1,0.0,0
213825,1,2000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1073421,1,4000.0,3109.01,146.07,0.0,93.0,91.0,1,0.0,0
845286,1,4000.0,3209.11,324.92,0.0,96.0,300.0,1,0.0,0
300372,1,12500.0,745.56,1488.08,0.0,0.0,1393.07,1,0.0,0
391859,3,22000.0,6019.83,745.08,10.11,181.0,175.0,1,0.0,0
824887,1,300.0,22.42,22.42,0.0,22.42,39.46,1,0.0,0
1066447,1,500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
930348,1,1500.0,0.0,0.0,0.0,0.0,0.0,4,1811.34,0
155432,1,22800.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1110641,1,12000.0,488.77,161.36,0.0,27.0,100.0,1,0.0,0
430701,2,20000.0,570.74,2366.73,243.0,0.0,1609.54,1,0.0,0
1205433,1,500.0,0.0,0.0,0.0,0.0,0.0,4,976.64,0
952141,1,2000.0,1785.33,145.28,0.0,0.0,200.0,1,0.0,0
802665,1,2000.0,553.27,606.97,0.0,27.0,150.0,1,0.0,0
141927,1,1000.0,112.89,81.58,0.0,27.0,30.0,1,0.0,0
1048075,1,1000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
715559,9,8900.0,0.0,0.0,0.0,0.0,0.0,4,9841.65,0
668589,1,29000.0,25.98,25.98,0.0,0.0,24.98,1,0.0,0
131249,1,4000.0,765.3,657.42,14.94,27.0,440.0,1,0.0,0
266829,1,2000.0,2044.05,440.42,0.0,60.0,250.0,1,0.0,0
635775,1,8500.0,2484.11,45.0,0.0,0.0,75.0,1,0.0,0
573250,1,7500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
148266,1,10000.0,178.89,178.89,0.0,0.0,223.45,1,0.0,0
