,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
954027,1,8500.0,8567.43,488.59,0.0,255.0,25.0,0
281517,1,5800.0,5367.57,0.0,0.0,0.0,400.0,0
848633,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
931425,1,400.0,0.0,0.0,0.0,0.0,0.0,0
360492,2,26800.0,54.45,56.15,0.0,27.0,80.0,0
86202,1,500.0,0.0,0.0,0.0,0.0,0.0,0
613337,11,10000.0,0.0,19.33,0.0,0.0,388.75,0
1190224,1,20000.0,0.0,0.0,0.0,0.0,0.0,0
390382,1,21500.0,590.57,339.96,0.0,27.0,250.0,0
671677,2,14500.0,3326.97,0.0,0.0,100.0,150.0,0
1170367,1,11500.0,129.09,1592.4,0.0,29.0,1702.9,0
243260,1,13000.0,0.0,0.0,0.0,0.0,0.0,0
530998,1,500.0,7.8,315.66,73.8,7.8,356.75,0
556475,1,22000.0,20267.0,0.0,0.0,0.0,1000.0,0
1111552,2,23300.0,6816.97,0.0,0.0,0.0,210.0,0
480764,6,10500.0,0.0,0.0,0.0,0.0,0.0,0
382885,1,15000.0,7127.85,484.1,0.0,214.0,600.0,0
786214,1,2500.0,1099.65,0.0,0.0,33.0,200.0,0
632080,1,29000.0,0.0,0.0,0.0,0.0,0.0,0
720605,2,25500.0,960.26,960.26,0.0,0.0,1122.55,0
663615,3,5000.0,0.0,0.0,0.0,0.0,0.0,0
1126252,1,500.0,48.01,0.0,0.0,27.0,505.65,0
924602,2,17000.0,0.0,558.64,0.0,0.0,558.64,0
1037726,1,21500.0,-819.1,201.09,0.0,0.0,1059.52,0
164525,1,500.0,565.12,108.05,0.0,54.0,0.0,0
637289,1,3500.0,0.0,0.0,0.0,0.0,0.0,0
1114640,2,25500.0,10.0,154.99,0.0,0.0,164.99,0
929073,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
456681,1,25300.0,0.0,0.0,0.0,0.0,0.0,0
1166928,1,28000.0,0.0,0.0,0.0,0.0,0.0,0
1233619,11,25000.0,4336.55,4336.55,0.0,130.0,4077.94,0
128194,1,13500.0,0.0,0.0,0.0,0.0,0.0,0
358693,1,13000.0,0.0,0.0,0.0,0.0,0.0,0
614523,1,23000.0,158.91,180.9,21.99,27.0,221.47,0
126271,3,23500.0,0.0,0.0,0.0,0.0,0.0,0
1024690,1,6500.0,4808.33,3089.23,24.06,144.0,1300.0,0
852486,1,2000.0,1048.16,0.0,0.0,61.0,0.0,0
829563,1,20000.0,18279.03,2339.02,6.4,548.0,2454.39,0
439507,1,300.0,0.0,0.0,0.0,0.0,0.0,0
98523,1,300.0,0.0,0.0,0.0,0.0,0.0,0
993657,1,10000.0,6438.3,81.09,0.0,193.0,375.0,0
832172,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
476061,1,500.0,0.0,0.0,0.0,0.0,0.0,0
1127424,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
5206,8,1500.0,0.0,0.0,0.0,0.0,0.0,0
414626,1,16500.0,3076.94,60.21,0.0,92.0,309.03,0
109792,1,500.0,383.33,2.38,0.0,0.0,35.0,0
1092693,1,8500.0,0.0,0.0,0.0,0.0,0.0,0
202186,1,22000.0,0.0,0.0,0.0,0.0,0.0,0
314053,1,6000.0,1858.45,118.35,0.0,0.0,300.0,0
1081413,1,1000.0,504.55,1520.33,0.0,0.0,1396.24,0
793527,7,10000.0,400.51,0.0,0.0,20.0,100.0,0
41700,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
419409,1,6500.0,4261.01,116.63,0.0,0.0,127.0,0
135988,1,7000.0,436.45,0.0,0.0,27.0,431.52,0
166299,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
704688,1,15000.0,7354.48,0.0,0.0,221.0,225.0,0
563814,1,4000.0,2950.48,0.0,0.0,89.0,115.0,0
810354,1,500.0,0.0,0.0,0.0,0.0,0.0,0
749576,1,10300.0,0.0,0.0,0.0,0.0,0.0,0
225879,1,3500.0,2955.93,0.0,0.0,89.0,90.0,0
729829,1,2000.0,1874.8,434.85,0.0,56.0,250.0,0
10775,1,10000.0,2521.26,160.98,0.0,76.0,1260.96,0
535550,1,24500.0,0.0,0.0,0.0,0.0,0.0,0
1135664,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
875761,1,2000.0,229.56,29.11,0.0,27.0,25.0,0
634370,2,22000.0,765.36,809.61,44.25,27.0,411.84,0
475214,1,12000.0,6209.54,0.0,0.0,0.0,200.0,0
63223,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
359476,1,25000.0,-151.97,570.43,0.0,0.0,1125.0,0
131238,1,500.0,0.0,0.0,0.0,0.0,0.0,0
19065,1,17700.0,0.0,0.0,0.0,0.0,0.0,0
1038542,1,500.0,7.01,262.0,0.0,7.01,255.0,0
692358,3,27000.0,1495.41,1495.41,0.0,45.0,428.07,0
393440,2,22300.0,181.69,215.3,0.0,27.0,1350.0,0
1150418,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
591443,1,28300.0,13849.77,47.2,0.0,0.0,500.0,0
380777,1,1000.0,1025.4,0.0,0.0,30.0,30.0,0
1195293,1,500.0,32.0,518.18,37.78,29.0,461.58,0
799094,1,3500.0,249.11,328.93,0.0,27.0,130.0,0
197639,1,5500.0,0.0,0.0,0.0,0.0,0.0,0
335303,1,10000.0,2073.47,84.12,0.0,62.0,200.0,0
269538,1,2000.0,1691.47,240.4,0.0,51.0,100.0,0
144428,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
1187184,1,500.0,362.85,0.0,0.0,29.0,60.0,0
468587,1,500.0,0.0,0.0,0.0,0.0,0.0,0
539715,1,6000.0,0.0,0.0,0.0,0.0,0.0,0
329362,2,27500.0,752.17,752.17,0.0,29.0,699.98,0
530417,1,14300.0,10089.19,143.2,0.0,303.0,150.0,0
546665,1,4000.0,0.0,1132.59,0.0,0.0,1299.18,0
705394,1,27500.0,0.0,0.0,0.0,0.0,0.0,0
571958,3,15300.0,0.0,0.0,0.0,0.0,0.0,0
475251,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
836147,1,10500.0,0.0,0.0,0.0,0.0,0.0,0
382454,1,27000.0,1928.2,0.0,0.0,58.0,78.33,0
285383,1,9300.0,-461.36,0.0,461.36,0.0,0.0,0
30585,1,26000.0,18698.46,386.35,0.0,0.0,562.0,0
1213119,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
346029,1,27000.0,178.76,178.76,0.0,27.0,89.45,0
824158,1,1000.0,1043.03,0.0,0.0,88.0,0.0,0
944311,1,500.0,94.62,219.25,0.0,27.0,124.63,0
189942,1,17000.0,0.0,0.0,0.0,0.0,0.0,0
942298,1,500.0,473.98,8.47,0.0,0.0,30.0,0
1185778,1,500.0,0.0,10.7,0.0,0.0,511.41,0
558461,1,3500.0,0.0,0.0,0.0,0.0,0.0,0
759328,1,10000.0,0.0,0.0,0.0,0.0,1245.91,0
148981,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
698569,2,10000.0,0.0,0.0,0.0,0.0,0.0,0
1097306,1,5000.0,0.0,0.0,0.0,0.0,72.97,0
740693,3,7000.0,0.0,0.0,0.0,0.0,0.0,0
1093379,1,500.0,0.0,0.0,0.0,0.0,0.0,0
1199101,10,300.0,0.0,0.0,0.0,0.0,0.0,0
825248,1,400.0,0.0,0.0,0.0,0.0,0.0,0
911129,4,6000.0,0.0,0.0,0.0,0.0,0.0,0
1066144,1,3000.0,2410.67,0.0,0.0,347.0,0.0,0
1010234,1,500.0,0.0,0.0,0.0,0.0,0.0,0
411590,1,1000.0,1045.41,0.0,0.0,60.0,0.0,0
380553,1,500.0,210.95,64.71,0.0,27.0,250.0,0
879662,1,500.0,59.85,59.85,0.0,27.0,160.58,0
301608,2,24800.0,0.0,0.0,0.0,0.0,0.0,0
521920,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
52045,1,4000.0,1443.93,1761.27,82.93,43.0,1716.0,0
140419,1,3500.0,0.0,0.0,0.0,0.0,0.0,0
140266,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1106450,1,1500.0,647.65,728.16,0.0,0.0,1000.0,0
1090894,1,8000.0,3765.62,0.0,0.0,0.0,130.0,0
1208687,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
187659,4,8300.0,0.0,0.0,0.0,0.0,0.0,0
311393,4,3250.0,0.0,0.0,0.0,0.0,0.0,0
309480,1,10000.0,3910.24,0.0,0.0,117.0,538.81,0
1191387,2,21000.0,0.0,0.0,0.0,0.0,0.0,0
