,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
36,,27800.0,13208.51,0.0,0.0,396.0,500.0,0
1073,,13500.0,0.0,0.0,0.0,0.0,0.0,0
291,,1000.0,-4.72,0.0,0.0,0.0,0.0,0
1048,,5000.0,0.0,0.0,0.0,0.0,0.0,0
24,,5000.0,0.0,0.0,0.0,0.0,0.0,0
178,,21000.0,2412.05,0.0,0.0,72.0,0.0,0
76,,26500.0,0.0,30.0,0.0,0.0,30.0,0
23,,25000.0,1878.69,0.0,0.0,56.0,100.0,0
690,,4000.0,2706.48,0.0,0.0,160.0,0.0,0
324,,14000.0,0.0,0.0,0.0,0.0,0.0,0
410,,15500.0,13474.2,707.09,0.0,404.0,391.0,0
52,,26800.0,1496.93,832.38,0.0,45.0,500.0,0
399,,7500.0,0.0,0.0,0.0,0.0,0.0,0
817,,12000.0,0.0,0.0,0.0,0.0,5.53,0
312,,22800.0,999.96,1333.31,333.35,0.0,0.0,0
456,,2300.0,0.0,0.0,0.0,0.0,0.0,0
238,,21300.0,1833.07,1833.07,0.0,55.0,1430.96,0
79,,7000.0,7003.48,3075.49,170.69,210.0,2000.0,0
1029,,5000.0,999.68,1183.65,33.97,0.0,150.0,0
766,,1000.0,833.88,0.0,0.0,27.0,50.0,0
444,,2500.0,0.0,0.0,0.0,0.0,0.0,0
1102,,7800.0,0.0,0.0,0.0,0.0,16.17,0
696,,2000.0,921.83,60.68,0.0,28.0,1000.0,0
996,,15800.0,0.0,0.0,0.0,0.0,0.0,0
257,,10000.0,6570.1,6659.98,2836.2,0.0,1002.71,0
344,,5000.0,199.16,275.23,0.0,29.0,221.84,0
687,,300.0,0.0,0.0,0.0,0.0,0.0,0
462,,5000.0,4666.54,0.0,0.0,140.0,150.0,0
101,,3000.0,1484.7,1212.23,0.0,0.0,1000.0,0
635,,10000.0,8739.14,0.0,0.0,262.0,267.0,0
694,,4000.0,0.0,0.0,0.0,0.0,0.0,0
943,,24000.0,682.16,276.44,0.0,27.0,508.94,0
1084,,26800.0,1.5,54.98,0.0,1.5,438.35,0
999,,1000.0,841.97,264.3,0.0,29.0,300.0,0
605,,23500.0,3258.92,0.0,0.0,98.0,550.0,0
650,,18000.0,539.37,862.08,0.0,27.0,1150.0,0
355,,3000.0,0.0,0.0,0.0,0.0,0.0,0
778,,1000.0,0.0,0.0,0.0,0.0,0.0,0
884,,10000.0,9939.6,211.74,0.0,391.0,200.0,0
947,,29300.0,5753.77,0.0,0.0,173.0,300.0,0
705,,4000.0,0.0,0.0,0.0,0.0,0.0,0
747,,22000.0,1693.84,891.71,0.0,0.0,1000.0,0
451,,3500.0,3483.16,0.0,0.0,205.5,101.5,0
287,,1000.0,0.0,0.0,0.0,0.0,0.0,0
724,,19500.0,0.0,0.0,0.0,0.0,0.0,0
581,,8000.0,0.0,0.0,0.0,0.0,0.0,0
1110,,1000.0,0.0,0.0,0.0,0.0,0.0,0
1003,,26500.0,1406.34,1427.5,0.0,42.0,1698.62,0
252,,23000.0,0.0,0.0,0.0,0.0,0.0,0
1099,,500.0,134.3,252.84,4.5,27.0,120.0,0
713,,5000.0,0.0,0.0,0.0,0.0,0.0,0
529,,7500.0,2619.56,0.0,0.0,79.0,100.0,0
452,,500.0,504.42,92.96,0.0,27.0,506.4,0
471,,300.0,-2.5,0.0,0.0,0.0,385.48,0
934,,400.0,397.64,28.08,0.0,27.0,0.0,0
1010,,4000.0,799.92,0.0,0.0,27.0,100.0,0
92,,10000.0,3027.04,0.0,0.0,91.0,1225.52,0
37,,24300.0,0.0,0.0,0.0,0.0,0.0,0
654,,6000.0,5889.88,145.91,0.0,177.0,176.0,0
873,,8250.0,0.0,0.0,0.0,0.0,0.0,0
331,,10500.0,0.0,0.0,0.0,0.0,0.0,0
1051,,22000.0,2759.82,0.0,0.0,83.0,200.0,0
735,,27300.0,1139.92,698.48,0.0,34.0,1173.92,0
805,,10000.0,753.13,0.0,0.0,27.0,100.0,0
874,,6000.0,0.0,0.0,0.0,0.0,0.0,0
494,,10000.0,9360.46,246.94,0.0,281.0,400.0,0
908,,3000.0,909.67,0.0,0.0,27.0,109.74,0
745,,10000.0,9474.04,0.0,0.0,0.0,295.0,0
83,,18000.0,401.27,401.27,0.0,27.0,0.0,0
219,,2500.0,0.0,0.0,0.0,0.0,0.0,0
334,,1000.0,0.0,0.0,0.0,0.0,0.0,0
784,,28000.0,0.0,0.0,0.0,0.0,0.0,0
638,,11800.0,0.0,0.0,0.0,0.0,0.0,0
35,,1000.0,0.0,0.0,0.0,0.0,0.0,0
414,,11000.0,3989.44,137.79,0.0,120.0,100.0,0
955,,1000.0,0.0,0.0,0.0,0.0,0.0,0
673,,27000.0,375.64,375.64,0.0,27.0,284.79,0
637,,15000.0,7074.72,0.0,0.0,0.0,400.0,0
887,,500.0,396.91,346.81,0.0,27.0,200.0,0
1054,,18000.0,0.0,0.0,0.0,0.0,0.0,0
